Wall time,Step,Value
1629147874.0792115,100,0.8132655024528503
1629147894.833938,200,0.7044987678527832
1629147915.58389,300,0.6837918758392334
1629147936.8631818,400,0.6648532748222351
1629147958.1317368,500,0.713304340839386
1629147978.7501295,600,0.581203818321228
1629148000.313992,700,0.6062465906143188
1629148020.7477548,800,0.6116354465484619
1629148042.0467224,900,0.6538987159729004
1629148063.9856591,1000,0.6541560292243958
1629148119.545082,1100,0.561285674571991
1629148140.6887796,1200,0.5805150270462036
1629148161.3315291,1300,0.6427862048149109
1629148181.7902,1400,0.6310326457023621
1629148203.4450636,1500,0.6223008632659912
1629148224.2624164,1600,0.5829943418502808
1629148245.6157553,1700,0.5956230163574219
1629148266.3721988,1800,0.5573239326477051
1629148287.3809388,1900,0.4801865816116333
1629148310.3441792,2000,0.5658509731292725
1629148346.5979285,2100,0.6402052640914917
1629148366.9827938,2200,0.5439215898513794
1629148388.1940067,2300,0.5771160125732422
1629148408.9726682,2400,0.47595030069351196
1629148430.556421,2500,0.4890001714229584
1629148451.0850446,2600,0.5455089807510376
1629148472.1765628,2700,0.4759504795074463
1629148493.1345224,2800,0.3968709707260132
1629148514.5307212,2900,0.47277987003326416
1629148536.9121208,3000,0.556328535079956
1629148572.6388788,3100,0.4598506987094879
1629148593.2560008,3200,0.3633325695991516
1629148614.7682884,3300,0.44204357266426086
1629148635.4345462,3400,0.4489791989326477
1629148656.1014585,3500,0.39555221796035767
1629148677.6171207,3600,0.3799755573272705
1629148698.7633982,3700,0.4402157664299011
1629148719.7490594,3800,0.5766333937644958
1629148741.2015328,3900,0.394337922334671
1629148763.536509,4000,0.4877789616584778
1629148798.3762555,4100,0.3894643187522888
1629148819.26503,4200,0.3897703289985657
1629148840.081157,4300,0.5201445817947388
1629148861.2333958,4400,0.40506771206855774
1629148882.2886064,4500,0.39415499567985535
1629148902.7277613,4600,0.38342541456222534
1629148924.0054448,4700,0.3475959897041321
1629148944.7350707,4800,0.39568713307380676
1629148965.9957252,4900,0.4512106776237488
1629148988.3540363,5000,0.3537957966327667
1629149022.8102982,5100,0.3401844799518585
1629149044.4540422,5200,0.37257832288742065
1629149065.1979628,5300,0.36005038022994995
1629149086.2131743,5400,0.3590885400772095
1629149107.4633832,5500,0.3691938519477844
1629149128.4453259,5600,0.3188724219799042
1629149150.4486651,5700,0.35202106833457947
1629149171.0114725,5800,0.46863430738449097
1629149192.2127602,5900,0.38880014419555664
1629149215.3048158,6000,0.3363295793533325
1629149250.6340034,6100,0.3136022686958313
1629149272.0500338,6200,0.3208962678909302
1629149294.088442,6300,0.3776545822620392
1629149315.013913,6400,0.3024004399776459
1629149336.8800292,6500,0.322765976190567
1629149357.7527328,6600,0.3289323151111603
1629149378.332794,6700,0.31342655420303345
1629149400.1262434,6800,0.32285696268081665
1629149421.1142592,6900,0.364123672246933
1629149443.9019144,7000,0.3235456943511963
1629149479.524694,7100,0.32695263624191284
1629149501.0244157,7200,0.35733842849731445
1629149522.0174587,7300,0.30191218852996826
1629149543.58651,7400,0.32468801736831665
1629149564.31213,7500,0.27123790979385376
1629149585.873368,7600,0.32798662781715393
1629149606.46842,7700,0.38176587224006653
1629149627.7535467,7800,0.3507709205150604
1629149649.348681,7900,0.34381353855133057
1629149671.8140447,8000,0.2978685796260834
1629149704.9495776,8100,0.31242430210113525
1629149726.1346323,8200,0.34349578619003296
1629149747.0191915,8300,0.18206971883773804
1629149768.6411848,8400,0.29608845710754395
1629149789.540985,8500,0.30430513620376587
1629149810.6525884,8600,0.3861462473869324
1629149832.4187994,8700,0.2730945944786072
1629149853.598062,8800,0.3293021321296692
1629149874.2072008,8900,0.27029114961624146
1629149897.6062324,9000,0.2379421591758728
1629149930.7932367,9100,0.24062255024909973
1629149952.145231,9200,0.30092674493789673
1629149972.9183178,9300,0.32429739832878113
1629149994.0652122,9400,0.2405928075313568
1629150015.481041,9500,0.31607404351234436
1629150036.6856444,9600,0.3098421096801758
1629150057.399738,9700,0.28801947832107544
1629150078.9840813,9800,0.26229482889175415
1629150099.7102551,9900,0.33452364802360535
1629150123.1622539,10000,0.3399292826652527
