Wall time,Step,Value
1629216337.052729,100,0.7277780771255493
1629216346.8498726,200,0.6553212404251099
1629216356.3142967,300,0.6346390843391418
1629216365.6160283,400,0.5791770815849304
1629216375.5262814,500,0.7268179059028625
1629216384.7280192,600,0.6699000597000122
1629216394.1679785,700,0.693783700466156
1629216404.0329385,800,0.5952830910682678
1629216414.5679555,900,0.8137380480766296
1629216423.6583047,1000,0.6926263570785522
1629216446.884658,1100,0.6732050180435181
1629216455.473737,1200,0.6167674660682678
1629216463.686299,1300,0.6985346078872681
1629216473.2780907,1400,0.6328310966491699
1629216483.1617289,1500,0.6729452610015869
1629216491.6458972,1600,0.6321816444396973
1629216500.3059843,1700,0.7268226742744446
1629216508.9545321,1800,0.6338465213775635
1629216517.9384198,1900,0.6430603265762329
1629216527.6558633,2000,0.5660533905029297
1629216552.7467687,2100,0.6609084606170654
1629216561.5980082,2200,0.6239981651306152
1629216569.395018,2300,0.5762415528297424
1629216578.238008,2400,0.5253913402557373
1629216587.3651884,2500,0.5108524560928345
1629216595.5393755,2600,0.4757871627807617
1629216604.4116104,2700,0.514960527420044
1629216613.6540205,2800,0.4964349567890167
1629216622.5389717,2900,0.5390231609344482
1629216631.7126305,3000,0.42833107709884644
1629216655.643941,3100,0.5483545660972595
1629216665.6771011,3200,0.47657090425491333
1629216674.0814571,3300,0.4662058651447296
1629216682.651025,3400,0.37482237815856934
1629216691.6825256,3500,0.46159887313842773
1629216701.0769432,3600,0.40897881984710693
1629216711.0521593,3700,0.49242743849754333
1629216720.0498133,3800,0.4087938964366913
1629216728.4931154,3900,0.34809738397598267
1629216739.258576,4000,0.41084080934524536
1629216762.7037528,4100,0.36896851658821106
1629216772.4796612,4200,0.34899184107780457
1629216782.205988,4300,0.37188810110092163
1629216791.7411802,4400,0.48219722509384155
1629216800.989873,4500,0.3631019592285156
1629216809.4843397,4600,0.43570244312286377
1629216818.138817,4700,0.3218693435192108
1629216827.4131138,4800,0.27575141191482544
1629216836.9277349,4900,0.2765037715435028
1629216845.6563005,5000,0.25576695799827576
1629216868.4468558,5100,0.26698824763298035
1629216877.7815533,5200,0.2869393229484558
1629216886.6796691,5300,0.3136424422264099
1629216895.113542,5400,0.2061743438243866
1629216903.6262145,5500,0.4301828145980835
1629216913.4085827,5600,0.28863173723220825
1629216922.6439893,5700,0.25917333364486694
1629216932.099911,5800,0.3185077905654907
1629216941.6460028,5900,0.3115696907043457
1629216950.161077,6000,0.27762019634246826
1629216993.2034006,6100,0.25203391909599304
1629217003.0638845,6200,0.252509742975235
1629217013.375988,6300,0.3178621530532837
1629217023.8307137,6400,0.23786360025405884
1629217031.7952056,6500,0.3099266588687897
1629217040.541618,6600,0.2613515555858612
1629217050.4509463,6700,0.2272660732269287
1629217060.1997554,6800,0.363722562789917
1629217070.421124,6900,0.2921055853366852
1629217081.161781,7000,0.20511527359485626
1629217105.3340557,7100,0.2895433306694031
1629217113.965455,7200,0.2613397240638733
1629217122.4327333,7300,0.29863810539245605
1629217131.0527015,7400,0.19481076300144196
1629217139.1806128,7500,0.2078813761472702
1629217147.6169004,7600,0.22306005656719208
1629217156.8849037,7700,0.23185743391513824
1629217166.4025831,7800,0.24223271012306213
1629217175.3633423,7900,0.31858712434768677
1629217184.9573271,8000,0.3126913011074066
1629217209.029898,8100,0.16457664966583252
1629217217.1154602,8200,0.21850796043872833
1629217228.1706727,8300,0.21585170924663544
1629217237.4973607,8400,0.21611174941062927
1629217246.345592,8500,0.2622423768043518
1629217255.5414302,8600,0.25785937905311584
1629217265.720535,8700,0.25731322169303894
1629217274.2555034,8800,0.16451968252658844
1629217283.0590773,8900,0.35399144887924194
1629217292.3134556,9000,0.18168802559375763
1629217316.1159096,9100,0.30731141567230225
1629217326.297962,9200,0.17057350277900696
1629217335.8398747,9300,0.17749950289726257
1629217344.4953241,9400,0.2724067270755768
1629217354.4797306,9500,0.2039690613746643
1629217364.2003613,9600,0.1793389767408371
1629217372.1562302,9700,0.19260023534297943
1629217382.126708,9800,0.19531437754631042
1629217391.2768667,9900,0.18361401557922363
1629217401.3344026,10000,0.2096155732870102
