Wall time,Step,Value
1629290860.6918445,100,0.6676297187805176
1629290911.7032406,200,0.667746901512146
1629290964.295739,300,0.5625158548355103
1629291018.208598,400,0.47493284940719604
1629291072.7142487,500,0.4242495000362396
1629291127.061538,600,0.26717665791511536
1629291180.6729717,700,0.1970851868391037
1629291234.320106,800,0.11313039064407349
1629291289.0125346,900,0.1430003046989441
1629291347.8268068,1000,0.04705461859703064
1629291426.103577,1100,0.09988551586866379
1629291480.2587016,1200,0.020054422318935394
1629291534.665527,1300,0.061489127576351166
1629291590.1423757,1400,0.09648595750331879
1629291644.1498318,1500,0.02165018580853939
1629291698.6877491,1600,0.03788440674543381
1629291753.7706795,1700,0.03570752963423729
1629291808.8584552,1800,0.009700508788228035
1629291864.8941724,1900,0.045055270195007324
1629291927.5307655,2000,0.005773412995040417
1629292028.2395039,2100,0.01440104003995657
1629292082.9676616,2200,0.05478668212890625
1629292139.2937891,2300,0.1304682046175003
1629292194.8494928,2400,0.06611181795597076
1629292250.9946647,2500,0.07487062364816666
1629292306.5334463,2600,0.006676961667835712
1629292361.77794,2700,0.0007204685243777931
1629292417.3358526,2800,0.0024717841297388077
1629292474.4614704,2900,0.035301223397254944
1629292536.270186,3000,0.00030244639492593706
1629292615.8726165,3100,0.006150943227112293
1629292671.2340922,3200,0.0020653584506362677
1629292727.4049625,3300,0.0032755311112850904
1629292784.563137,3400,0.02165072225034237
1629292841.0037346,3500,0.0010831505060195923
1629292898.682812,3600,0.008777564391493797
1629292956.1203759,3700,0.022466495633125305
1629293012.8128936,3800,0.002588927745819092
1629293069.525361,3900,0.015275336802005768
1629293132.4466572,4000,0.0018493843963369727
1629293208.8321962,4100,0.015223073773086071
1629293265.8035538,4200,0.003605637699365616
1629293322.6100013,4300,0.0015687186969444156
1629293380.4530623,4400,0.001761551946401596
1629293439.4305444,4500,0.05768407881259918
1629293497.946455,4600,0.02747846208512783
1629293554.3225555,4700,0.0063318172469735146
1629293611.546804,4800,0.0027038399130105972
1629293669.6089294,4900,0.01902787946164608
1629293733.6489346,5000,0.0003161177155561745
1629293811.355235,5100,0.0005348818376660347
1629293867.333059,5200,0.0019027581438422203
1629293922.801595,5300,0.000819161010440439
1629293980.4587417,5400,0.004042487125843763
1629294037.8111632,5500,0.00021569133969023824
1629294093.6539285,5600,0.0002254099235869944
1629294150.1595194,5700,0.0005736941238865256
1629294206.0519009,5800,0.001604077173396945
1629294261.728111,5900,0.08213572949171066
1629294322.4533982,6000,0.00044725026236847043
1629294398.2632902,6100,0.001275019720196724
1629294453.565728,6200,0.0010223172139376402
1629294509.7576962,6300,0.0003758885432034731
1629294566.1007152,6400,0.0035453010350465775
1629294622.7644107,6500,0.00048410851741209626
1629294677.8360202,6600,0.0007637347443960607
1629294733.0072625,6700,0.0001685058232396841
1629294787.8952467,6800,0.00011232765973545611
1629294844.8725886,6900,7.09881423972547e-05
1629294907.549889,7000,0.0005399964284151793
1629294982.8739986,7100,0.0002530029451008886
1629295038.7875006,7200,0.00014735860168002546
1629295094.3022149,7300,0.00017124347505159676
1629295151.1932323,7400,8.17728869151324e-05
1629295208.1709795,7500,0.02917003631591797
1629295263.289946,7600,0.00013841933105140924
1629295320.5023913,7700,0.0004968874272890389
1629295376.6665142,7800,0.0392068475484848
1629295432.8169417,7900,5.3714316891273484e-05
1629295496.5201852,8000,8.032691403059289e-05
1629295564.8026145,8100,3.1288764148484915e-05
1629295620.236431,8200,1.9586945199989714e-05
1629295677.7456186,8300,5.556081305257976e-05
1629295733.6563473,8400,1.4042831026017666e-05
1629295788.5507228,8500,1.2772645277436823e-05
1629295843.3562875,8600,1.1686066500260495e-05
1629295899.1138215,8700,1.3011996998102404e-05
1629295954.5374205,8800,5.002322723157704e-05
1629296011.8371646,8900,1.1960464689764194e-05
1629296074.6500006,9000,1.0350005140935536e-05
1629296143.6389854,9100,1.5402392818941735e-05
1629296200.2589824,9200,1.4814977475907654e-05
1629296256.3010652,9300,1.589154635439627e-05
1629296312.186654,9400,1.1960330994043034e-05
1629296367.8447783,9500,9.169084478344303e-06
1629296422.6276493,9600,1.669853736530058e-05
1629296478.0925283,9700,8.0267054727301e-06
1629296534.4521134,9800,4.032787910546176e-05
1629296591.105363,9900,8.376870937354397e-06
1629296652.9459894,10000,9.170276825898327e-06
